,NSAI - Standards Publications NSAI WEB Report Date of Publication 2020-02-11,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,Reference,Title En,Origin Body,Publication D,
1,I.S. EN 12897:2016+A1:2020,Water supply - Specification for indirectly heated unvented (closed) storagewater heaters,CEN,25/02/2020,
2,,,,,
3,I.S. EN 50128:2011/A1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,24/02/2020,
4,I.S. EN 50153:2014/A2:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,24/02/2020,
5,I.S. EN 50159:2010/A1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,24/02/2020,
6,I.S. EN 50163:2004/A2:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,24/02/2020,
7,I.S. EN 50310:2016/A1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,24/02/2020,
8,I.S. EN 50553:2012/A2:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,24/02/2020,
9,I.S. EN 50614:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,24/02/2020,
10,I.S. EN 60947-2:2017/A1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,24/02/2020,
11,I.S. EN 62026-3:2015/A11:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,24/02/2020,
12,I.S. EN ISO 536:2020,Paper and board - Determination of grammage (ISO/FDIS 536:2019),CEN,23/02/2020,
13,I.S. EN ISO 4259-3:2020,Petroleum and related products - Precision of measurement methods andresults - Part 3: Monitoring and management of precision data in relation tomethods of test (ISO/FDIS 4259-3:2019),CEN,23/02/2020,
14,I.S. EN ISO 10581:2020,Resilient floor coverings - Homogeneous poly(vinyl chloride) floor covering -Specifications (ISO/FDIS 10581:2019),CEN,23/02/2020,
15,I.S. EN ISO 11200:2014/A1:2020,Acoustics - Noise emitted by machinery and equipment - Guidelines for the useof basic standards for the determination of emission sound pressure levels at awork station and at other specified positions - Amendment 1 (ISO 11200:2014,CEN,23/02/2020,
16,I.S. EN ISO 11665-3:2020,Measurement of radioactivity in the environment - Air: radon-222 - Part 3: Spomeasurement method of the potential alpha energy concentration of itsshort-lived decay products (ISO/FDIS 11665-3:2019),CEN,23/02/2020,
17,I.S. EN ISO 11665-5:2020,Measurement of radioactivity in the environment - Air: radon-222 - Part 5:Continuous measurement methods of the activity concentration (ISO/FDIS11665-5:2019),CEN,23/02/2020,
18,I.S. EN ISO 11665-6:2020,Measurement of radioactivity in the environment - Air: radon-222 - Part 6: Spomeasurement methods of the activity concentration (ISO/FDIS 11665-6:2019),CEN,23/02/2020,
19,I.S. EN ISO 12006-2:2020,Building construction - Organization of information about construction works -Part 2: Framework for classification (ISO 12006-2:2015),CEN,23/02/2020,
20,I.S. EN ISO 22510:2020,"Open data communication in building automation, controls and buildingmanagement - Home and building electronic systems - KNXnet/IPcommunication (ISO/FDIS 22510:2019)",CEN,23/02/2020,
21,I.S. EN ISO 22908:2020,Water quality - Radium 226 and radium 228 - Test method using liquidscintilation counting (ISO/FDIS 22908:2019),CEN,23/02/2020,
22,S.R. CEN/TR 17447:2020,Space - Use of GNSS-based positioning for road Inteligent Transport System(ITS) - Mathematical PVT error model,CEN,23/02/2020,
23,S.R. CEN/TR 17452:2020,Natural gas fueling stations â€” Guidance for implementation of Europeanstandards on CNG and LNG stations for fueling vehicles,CEN,23/02/2020,
24,Number of Records found :22,,,,
