,NSAI - Standards Publications NSAI WEB Report Date of Publication 2019-12-10,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
19,I.S. EN 301549:2019,Accessibility requirements for ICT products and services,CEN,23/12/2019,
20,I.S. EN IEC 60079-19:2019,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,30/12/2019,
21,I.S. EN IEC 61857-32:2019,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,30/12/2019,
22,I.S. EN IEC 62386-332:2018/AC:2019-12,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,30/12/2019,
23,I.S. EN IEC 62878-1:2019,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,30/12/2019,
24,I.S. EN IEC 62885-9:2019,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,30/12/2019,
25,I.S. EN IEC 63006:2019,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,30/12/2019,
26,I.S. EN ISO 3233-1:2019,Paints and varnishes - Determination of percentage volume of non-volatilemater - Part 1: Method using a coated test panel to determine non-volatilemater and to determine dry-film density by the Archimedes principle (ISO 323,CEN,23/12/2019,
27,I.S. EN ISO 6892-1:2019,Metalic materials - Tensile testing - Part 1: Method of test at room temperatur(ISO 6892-1:2019),CEN,23/12/2019,
28,I.S. EN ISO 10722:2019,Geosynthetics - Index test procedure for the evaluation of mechanical damageunder repeated loading - Damage caused by granular material (laboratory testmethod) (ISO 10722:2019),CEN,22/12/2019,
29,I.S. EN ISO 10961:2019,"Gas cylinders - Cylinder bundles - Design, manufacture, testing and inspection(ISO 10961:2019)",CEN,22/12/2019,
30,I.S. EN ISO 11117:2019,"Gas cylinders - Valve protection caps and guards - Design, construction andtests (ISO 11117:2019)",CEN,22/12/2019,
31,I.S. EN ISO 12813:2019,Electronic fee colection - Compliance check communication for autonomoussystems (ISO 12813:2019),CEN,23/12/2019,
32,I.S. EN ISO 13426-1:2019,Geotextiles and geotextile-related products - Strength of internal structuraljunctions - Part 1: Geocels (ISO 13426-1:2019),CEN,22/12/2019,
33,I.S. EN ISO 13938-1:2019,Textiles - Bursting properties of fabrics - Part 1: Hydraulic method fordetermination of bursting strength and bursting distension (ISO 13938-1:2019,CEN,22/12/2019,
34,I.S. EN ISO 16140-6:2019,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CEN,22/12/2019,
35,I.S. EN ISO 16929:2019Plastics - Determination of the degree of disintegration of plastic materialsCEN22/12/2019Number of Records found :40 under defined composting conditions in a pilot-scale test (ISO 16929:2019),,,,
