,NSAI - Standards Publications NSAI WEB Report Date of Publication 2020-02-25,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,Reference,Title En,Origin Body,Publication D,
1,I.S. EN 81-20:2020,Safety rules for the construction and instalation of lifts - Lifts for the transportof persons and goods - Part 20: Passenger and goods passenger lifts,CEN,08/03/2020,
2,,,,,
3,I.S. EN 81-50:2020,"Safety rules for the construction and instalation of lifts - Examinations and tes- Part 50: Design rules, calculations, examinations and tests of lift components",CEN,08/03/2020,
4,I.S. EN 1363-1:2020,Fire resistance tests - Part 1: General requirements,CEN,08/03/2020,
5,I.S. EN 4571:2020,Aerospace series - Heat resisting aloy FE-PA4901 (X12CrNiCoMoW21-20) -Solution treated - Bars and sections - De â‰ ¤ 100 mm,CEN,08/03/2020,
6,I.S. EN 4572:2020,Aerospace series - Heat resisting aloy FE-PA4901 (X12CrNiCoMoW21-20) -Solution treated - Sheet and strip - a â‰ ¤ 3 mm,CEN,08/03/2020,
7,I.S. EN 4573:2020,Aerospace series - Heat resisting aloy FE-PA4901 (X12CrNiCoMoW21-20) -Solution treated and precipitation treated - Bars and sections - De â‰ ¤ 100mm,CEN,08/03/2020,
8,I.S. EN 4574:2020,Aerospace series - Heat resisting aloy FE-PA4901 (X12CrNiCoMoW21-20) -Solution treated and precipitation treated - Forgings - De â‰ ¤ 100 mm,CEN,08/03/2020,
9,I.S. EN 4575:2020,Aerospace series - Heat resisting aloy FE-PA4901 (X12CrNiCoMoW21-20) -Solution treated and descaled - Sheet and plate - 3 mm < a â‰ ¤ 50 mm,CEN,08/03/2020,
10,I.S. EN 4705:2020,Aerospace series - Measurement methods regarding the lifetime behaviour oflight units in a standardized aircraft-related environment,CEN,08/03/2020,
11,I.S. EN 13922:2020,Tanks for transport of dangerous goods - Service equipment for tanks - Overfiprevention systems for liquid fuels,CEN,08/03/2020,
12,I.S. EN 14988:2017+A1:2020,Children's high chairs - Requirements and test methods,CEN,08/03/2020,
13,I.S. EN 15567-1:2015+A1:2020,Sports and recreational facilities - Ropes courses - Part 1: Construction andsafety requirements,CEN,08/03/2020,
14,I.S. EN 16334-2:2020,Railway applications - Passenger alarm system - Part 2: System requirementsfor urban rail,CEN,08/03/2020,
15,I.S. EN 17368:2020,Laminate floor coverings - Determination of impact resistance with smal bal,CEN,08/03/2020,
16,I.S. EN 45554:2020,"General methods for the assessment of the ability to repair, reuse and upgradeenergy-related products",CEN,09/03/2020,
17,I.S. EN 60335-2-78:2003/A11:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,09/03/2020,
18,I.S. EN 60669-1:2018/AC:2020-02,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,09/03/2020,
19,I.S. EN 61034-1:2005/A2:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,09/03/2020,
20,I.S. EN 61034-2:2005/A2:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,09/03/2020,
21,I.S. EN IEC 60079-0:2018/AC:2020-02,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,09/03/2020,
22,I.S. EN IEC 60335-2-71:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,09/03/2020,
23,I.S. EN IEC 60335-2-87:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,09/03/2020,
24,I.S. EN IEC 61123:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,09/03/2020,
25,I.S. EN IEC 62115:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,09/03/2020,
26,I.S. EN IEC 63078:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,09/03/2020,
27,I.S. EN IEC 63137-1:2019/AC:2020-02,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,09/03/2020,
28,I.S. EN ISO 439:2020,Steel and cast irons - Determination of silicon content - Gravimetric method(ISO/FDIS 439:2019),CEN,08/03/2020,
29,I.S. EN ISO 6141:2015/A1:2020,Gas analysis - Contents of certificates for calibration gas mixtures â€”Amendment 1: Cross reference list to ISO Guide 31:2015 (ISO 6141:2015/DAM1:2019),CEN,08/03/2020,
30,I.S. EN ISO 13758:1996/A1:2020,Liquefied petroleum gases - Assessment of the dryness of propane - Valvefreeze method - Amendment 1 (ISO 13758:1996/DAM 1:2019),CEN,08/03/2020,
31,I.S. EN ISO 16106:2020,"Transport packages for dangerous goods - Dangerous goods packagings,intermediate bulk containers (IBCs) and large packagings - Guidelines for theapplication of ISO 9001 (ISO/FDIS 16106:2019)",CEN,08/03/2020,
32,I.S. EN ISO 17510:2020,Medical devices - Sleep apnoea breathing therapy - Masks and applicationaccessories (ISO 17510:2015),CEN,08/03/2020,
33,I.S. EN ISO 18562-1:2020,Biocompatibility evaluation of breathing gas pathways in healthcare application- Part 1: Evaluation and testing within a risk management process (ISO18562-1:2017),CEN,08/03/2020,
34,I.S. EN ISO 18562-2:2020,Biocompatibility evaluation of breathing gas pathways in healthcare application- Part 2: Tests for emissions of particulate mater (ISO 18562-2:2017),CEN,08/03/2020,
35,I.S. EN ISO 18562-3:2020Biocompatibility evaluation of breathing gas pathways in healthcare applicationsCEN08/03/2020Number of Records found :42 - Part 3: Tests for emissions of volatile organic compounds (VOCs) (ISO18562-3:2017),,,,
