,NSAI - Standards Publications NSAI WEB Report Date of Publication 2020-05-12,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,Reference,Title En,Origin Body,Publication D,
1,I.S. EN 1517:2020,Surfaces for sports areas - Determination of resistance to impact,CEN,04/06/2020,
2,,,,,
3,I.S. EN 1569:2020,Surfaces for sports areas - Determination of the behaviour under a roling load,CEN,04/06/2020,
4,I.S. EN 13381-10:2020,Test methods for determining the contribution to the fire resistance of structurmembers - Part 10: Applied protection to solid steel bars in tension,CEN,04/06/2020,
5,I.S. EN 13598-1:2020,"Plastics piping systems for non-pressure underground drainage and sewerageUnplasticized poly(vinyl chloride) (PVC-U), polypropylene (PP) and polyethylen(PE) - Part 1: Specifications for ancilary fitings and shalow chambers",CEN,04/06/2020,
6,I.S. EN 13598-2:2020,"Plastics piping systems for non-pressure underground drainage and sewerageUnplasticized poly(vinyl chloride) (PVC-U), polypropylene (PP) and polyethylen(PE) - Part 2: Specifications for manholes and inspection chambers",CEN,09/06/2020,
7,I.S. EN 13766:2018+A1:2020,Thermoplastic multi-layer (non-vulcanized) hoses and hose assemblies for thetransfer of liquid petroleum gas and liquefied natural gas - Specification,CEN,04/06/2020,
8,I.S. EN 17324:2020,Surfaces for sports areas - Test method for the determination of the resistanceto dynamic fatigue of shock pads and sports surfaces,CEN,04/06/2020,
9,I.S. EN 17326:2020,Surfaces for sports areas - Determination of dimensional stability of shock padused within sports systems,CEN,04/06/2020,
10,I.S. EN 17389:2020,Stationary source emissions - Quality assurance and quality control proceduresfor automated dust arrestment plant monitors,CEN,04/06/2020,
11,I.S. EN 17406:2020,Classification for bicycles usage,CEN,04/06/2020,
12,I.S. EN 50131-13:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,04/05/2020,
13,I.S. EN60335-2-26:2003&A1:2008&A11:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,04/06/2020,
14,I.S. EN 62752:2016&AC:2019-03&A1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,04/06/2020,
15,I.S. EN IEC 60034-2-3:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,04/06/2020,
16,I.S. EN IEC 60704-2-8:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,04/06/2020,
17,I.S. EN IEC 61108-5:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,04/06/2020,
18,I.S. EN IEC 61643-331:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,04/06/2020,
19,I.S. EN IEC 62788-5-1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,04/06/2020,
20,I.S. EN IEC 62788-6-2:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,04/06/2020,
21,I.S. EN IEC 62960:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,04/06/2020,
22,I.S. EN IEC 62984-1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,04/06/2020,
23,I.S. EN ISO 11266:2020,Soil quality - Guidance on laboratory testing for biodegradation of organicchemicals in soil under aerobic conditions (ISO 11266:1994),CEN,04/06/2020,
24,I.S. EN ISO 15685:2020,Soil quality - Determination of potential nitrification and inhibition of nitrificatio- Rapid test by ammonium oxidation (ISO 15685:2012),CEN,04/06/2020,
25,I.S. EN ISO 16484-5:2017/A1:2020,Building automation and control systems (BACS) - Part 5: Data communicationprotocol - Amendment 1 (ISO 16484-5:2017/Amd 1:2020),CEN,04/06/2020,
26,I.S. EN ISO 17155:2020,Soil quality - Determination of abundance and activity of soil microflora usingrespiration curves (ISO 17155:2012),CEN,04/06/2020,
27,I.S. EN ISO 17512-1:2020,Soil quality - Avoidance test for determining the quality of soils and efects ofchemicals on behaviour - Part 1: Test with earthworms (Eisenia fetida andEisenia andrei) (ISO 17512-1:2008),CEN,04/06/2020,
28,I.S. EN ISO 17512-2:2020,Soil quality - Avoidance test for determining the quality of soils and efects ofchemicals on behaviour - Part 2: Test with colembolans (Folsomia candida)(ISO 17512-2:2011),CEN,04/06/2020,
29,I.S. EN ISO 20130:2020,Soil quality - Measurement of enzyme activity paterns in soil samples usingcolorimetric substrates in micro-wel plates (ISO 20130:2018),CEN,04/06/2020,
30,I.S. EN ISO 20257-1:2020,Instalation and equipment for liquefied natural gas - Design of floating LNGinstalations - Part 1: General requirements (ISO 20257-1:2020),CEN,04/06/2020,
31,I.S. EN ISO 21479:2020,Soil quality - Determination of the efects of polutants on soil flora - Leaf fattyacid composition of plants to assess soil quality (ISO 21479:2019),CEN,04/06/2020,
32,I.S. EN ISO 29200:2020,Soil quality - Assessment of genotoxic efects on higher plants - Vicia fabamicronucleus test (ISO 29200:2013),CEN,04/06/2020,
33,I.S. EN ISO 80601-2-56:2017/A1:2020,Medical electrical equipment - Part 2-56: Particular requirements for basic safeand essential performance of clinical thermometers for body temperaturemeasurement - Amendment 1 (ISO 80601-2-56:2017/Amd 1:2018),CEN,09/06/2020,
34,S.R. CEN/TS 13149-9:2020,Public transport - Road vehicle scheduling and control systems - Part 9: Timeservice,CEN,04/06/2020,
35,S.R. CEN/TS 13149-10:2020Public transport - Road vehicle scheduling and control systems - Part 10:CEN04/06/2020Number of Records found :41 Location service,,,,
