,NSAI - Standards Publications NSAI WEB Report Date of Publication 2020-03-17,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,Reference,Title En,Origin Body,Publication D,
1,I.S. EN 131-4:2020,Ladders - Part 4: Single or multiple hinge-joint ladders,CEN,29/03/2020,
2,,,,,
3,I.S. EN 197-2:2020,Cement - Part 2: Assessment and verification of constancy of performance,CEN,29/03/2020,
4,I.S. EN 12697-1:2020,Bituminous mixtures - Test methods - Part 1: Soluble binder content,CEN,29/03/2020,
5,I.S. EN 15741:2020,Animal feeding stufs: Methods of sampling and analysis - Determination ofOCPs and PCBs by GC/MS,CEN,29/03/2020,
6,I.S. EN 17092-1:2020,Protective garments for motorcycle riders - Part 1: Test methods,CEN,29/03/2020,
7,I.S. EN 17243:2020,"Cathodic protection of internal surfaces of metalic tanks, structures, equipmenand piping containing seawater",CEN,29/03/2020,
8,I.S. EN 45552:2020,General method for the assessment of the durability of energy-related product,CEN,30/03/2020,
9,I.S. EN 62841-3-4:2016/A1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,30/03/2020,
10,I.S. EN 62841-4-1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,30/03/2020,
11,I.S. EN IEC 60098:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,30/03/2020,
12,I.S. EN IEC 62031:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,30/03/2020,
13,I.S. EN IEC 62941:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,30/03/2020,
14,I.S. EN ISO 75-1:2020,Plastics - Determination of temperature of deflection under load - Part 1:General test method (ISO/FDIS 75-1:2019),CEN,29/03/2020,
15,I.S. EN ISO 1833-17:2020,Textiles - Quantitative chemical analysis - Part 17: Mixtures of chlorofibres(homopolymers of vinyl chloride) and certain other fibres (method using sulfuracid),CEN,29/03/2020,
16,I.S. EN ISO 7096:2020,Earth-moving machinery - Laboratory evaluation of operator seat vibration(ISO/FDIS 7096:2019),CEN,29/03/2020,
17,I.S. EN ISO 11925-2:2020,Reaction to fire tests - Ignitability of products subjected to direct impingementof flame - Part 2: Single-flame source test (ISO/FDIS 11925-2:2019),CEN,29/03/2020,
18,I.S. EN ISO 15098:2020,Dentistry - Dental tweezers (ISO/FDIS 15098:2019),CEN,29/03/2020,
19,I.S. EN ISO 17409:2020,Electricaly propeled road vehicles - Conductive power transfer - Safetyrequirements (ISO/FDIS 17409:2019),CEN,29/03/2020,
20,I.S. EN ISO 18526-2:2020,Eye and face protection - Test methods - Part 2 : Physical optical properties(ISO/FDIS 18526-2:2019),CEN,29/03/2020,
21,I.S. EN ISO 20024:2020,Solid biofuels - Safe handling and storage of solid biofuel pelets in commercialand industrial applications (ISO/FDIS 20024:2019),CEN,29/03/2020,
22,I.S. EN ISO 21204:2020,Geometrical product specifications (GPS) - Transition specification (ISO/FDIS21204:2019),CEN,29/03/2020,
23,I.S. EN ISO 21904-1:2020,Health and safety in welding and alied processes - Equipment for capture andseparation of welding fume - Part 1: General requirements (ISO/FDIS21904-1:2019),CEN,29/03/2020,
24,I.S. EN ISO 21904-2:2020,Health and safety in welding and alied processes - Equipment for capture andseparation of welding fume - Part 2: Requirements for testing and marking ofseparation eficiency (ISO/FDIS 21904-2:2019),CEN,29/03/2020,
25,I.S. EN ISO 21904-4:2020,Health and safety in welding and alied processes - Equipment for capture andseparation of welding fume - Part 4: Determination of the minimum air volumeflow rate of capture devices (ISO/FDIS 21904-4:2019),CEN,29/03/2020,
26,I.S. EN ISO 22367:2020,Medical laboratories - Application of risk management to medical laboratories(ISO/FDIS 22367:2019),CEN,29/03/2020,
27,I.S. EN ISO 80601-2-12:2020,Medical electrical equipment - Part 2-12: Particular requirements for basic safeand essential performance of critical care ventilators (ISO/FDIS80601-2-12:2019),CEN,29/03/2020,
28,S.R. CEN/TR 14245:2020,Cement - Guidelines for the application of EN 197-2: Assessment andverification of constancy of performance,CEN,29/03/2020,
29,S.R. CWA 17525:2020,Digital identity for a natural person,CEN,30/03/2020,
30,Number of Records found :28,,,,
