,NSAI - Standards Publications NSAI WEB Report Date of Publication 2020-04-21,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,Reference,Title En,Origin Body,Publication D,
1,I.S. EN 1097-2:2020,Tests for mechanical and physical properties of aggregates - Part 2: Methods fthe determination of resistance to fragmentation,CEN,03/05/2020,
2,,,,,
3,I.S. EN 1097-8:2020,Tests for mechanical and physical properties of aggregates - Part 8:Determination of the polished stone value,CEN,03/05/2020,
4,I.S. EN 13525:2020,Forestry machinery - Wood chippers - Safety,CEN,03/05/2020,
5,I.S. EN 15269-1:2019/AC:2020,"Extended application of test results for fire resistance and/or smoke control fordoor, shutter and openable window assemblies, including their elements ofbuilding hardware - Part 1: General requirements",CEN,03/05/2020,
6,I.S. EN 16475-4:2020,Chimneys - Accessories - Part 4: Flue dampers - Requirements and testmethods,CEN,03/05/2020,
7,I.S. EN 16767:2020,Industrial valves - Metalic check valves,CEN,03/05/2020,
8,I.S. EN 16842-9:2019/AC:2020,"Powered industrial trucks - Visibility - Test methods and verification - Part 9:Order-picking, lateral- and front-stacking trucks with elevating operator positio",CEN,03/05/2020,
9,I.S. EN 60335-2-6:2015/A1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,05/05/2020,
10,I.S. EN 60794-1-21:2015/A1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,14/05/2020,
11,I.S. EN 61850-8-1:2011/A1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,14/05/2020,
12,I.S. EN IEC 61854:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,05/05/2020,
13,I.S. EN IEC 61897:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,14/05/2020,
14,I.S. EN IEC 62282-8-101:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,14/05/2020,
15,I.S. EN IEC 62435-3:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,14/05/2020,
16,I.S. EN IEC 62932-1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,14/05/2020,
17,I.S. EN IEC 62932-2-1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,14/05/2020,
18,I.S. EN IEC 62932-2-2:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,14/05/2020,
19,I.S. EN ISO 3506-1:2020,"Fasteners - Mechanical properties of corrosion-resistant stainless steel fastener- Part 1: Bolts, screws and studs with specified grades and property classes(ISO 3506-1:2020)",CEN,03/05/2020,
20,I.S. EN ISO 7932:2004/A1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CEN,03/05/2020,
21,I.S. EN ISO 8222:2020,"Petroleum measurement systems - Calibration - Volumetric measures, provingtanks and field measures (including formulae for properties of liquids andmaterials) (ISO 8222:2020)",CEN,03/05/2020,
22,I.S. EN ISO 8637-1:2020,"Extracorporeal systems for blood purification - Part 1: Haemodialysers,haemodiafilters, haemofilters and haemoconcentrators (ISO 8637-1:2017)",CEN,03/05/2020,
23,I.S. EN ISO 10360-5:2020,Geometrical product specifications (GPS) - Acceptance and reverification testsfor coordinate measuring systems (CMS) - Part 5: Coordinate measuringmachines (CMMs) using single and multiple stylus contacting probing systems,CEN,03/05/2020,
24,I.S. EN ISO 11118:2015/A1:2020,Gas cylinders - Non-refilable metalic gas cylinders - Specification and testmethods - Amendment 1 (ISO 11118:2015/Amd 1:2019),CEN,03/05/2020,
25,I.S. EN ISO 11553-1:2020,Safety of machinery - Laser processing machines - Part 1: Laser safetyrequirements (ISO 11553-1:2020),CEN,03/05/2020,
26,I.S. EN ISO 14063:2020,Environmental management - Environmental communication - Guidelines andexamples (ISO 14063:2020),CEN,03/05/2020,
27,I.S. EN ISO 16484-6:2020,Building automation and control systems (BACS) - Part 6: Data communicationconformance testing (ISO 16484-6:2020),CEN,03/05/2020,
28,I.S. EN ISO 17131:2020,Leather - Identification of leather with microscopy (ISO 17131:2020),CEN,03/05/2020,
29,I.S. EN ISO 19136-1:2020,Geographic information - Geography Markup Language (GML) - Part 1:Fundamentals (ISO 19136-1:2020),CEN,03/05/2020,
30,I.S. EN ISO/ASTM 52915:2020,Specification for additive manufacturing file format (AMF) Version 1.2(ISO/ASTM 52915:2020),CEN,03/05/2020,
31,S.R. CEN/TR 17491:2020,"Automotive fuels - Information on aniline, N-methyl aniline, N-ethyl aniline, N,Ndi-methyl aniline and secondary-butyl acetate when used as blendingcomponents in unleaded petrol",CEN,03/05/2020,
32,S.R. CEN/TS 15130:2020,Postal services - DPM infrastructure - Messages supporting DPM applications,CEN,03/05/2020,
33,S.R. CEN/TS 16614-3:2020,Public transport - Network and Timetable Exchange (NeTEx) - Part 3: Publictransport fares exchange format,CEN,03/05/2020,
34,S.R. CEN/TS 16614-4:2020,Public transport - Network and Timetable Exchange (NeTEx) - Part 4: PassengInformation European Profile,CEN,03/05/2020,
35,"S.R. CEN/TS 17400:2020Inteligent transport systems - Urban ITS - Mixed vendor environments,CEN03/05/2020Number of Records found :35 methodologies & translators",,,,
