,Reference,Title En Origin Body,Publication D.
0,I.S. EN 267:2020,Forced draught burners for liquid fuels CEN,09/02/2020
1,I.S. EN 676:2020,Forced draught burners for gaseous fuels CEN,09/02/2020
2,,Fixed firefighting systems - Components for sprinkler and water spray systems -,
3,I.S. EN 12259-14:2020,09/02/2020Part 14: Sprinklers for residential applicationsCEN,
4,I.S. EN 12973:2020,Value Management CEN,09/02/2020
5,I.S. EN 13206:2017+A1:2020,Plastics - Thermoplastic covering films for use in agriculture and horticulture CEN,09/02/2020
6,,Fat and oil derivatives - Fatty Acid Methyl Esters (FAME) - Determination of,
7,I.S. EN 14103:2020,09/02/2020ester and linolenic acid methyl ester contentsCEN,
8,,Fixed firefighting systems - Water mist systems - Part 8- Test protocol for,
9,I.S. EN 14972-8:2020,09/02/2020machinery in enclosures exceeding 260 mÂ3 for open nozzle systemsCEN,
10,,Fixed firefighting systems - Water mist systems - Part 9: Test protocol for,
11,I.S. EN 14972-9:2020,09/02/2020machinery in enclosures not exceeding 260 mÂ3 for open nozzle systemsCEN,
12,I.S. EN 16604-20:2020,Space sustainability - Planetary protection CEN,09/02/2020
13,I.S. EN 16905-2:2020,Gas-fired endothermic engine driven heat pumps - Part 2: Safety CEN,09/02/2020
14,,"Foodstufs - Determination of ochratoxin A in spices, liquorice, cocoa and cocoa",
15,I.S. EN 17250:2020,09/02/2020products by IAC clean-up and HPLC-FLDCEN,
16,,Characterization of waste - Leaching behaviour test - Up-flow percolation test,
17,I.S. EN 60335-2-105:2005/A2:2020,10/02/2020(under specified conditions)CENELEC,
18,,Characterization of waste - Leaching behaviour test - Up-flow percolation test,
19,I.S. EN IEC 62311:2020,10/02/2020(under specified conditions)CENELEC,
20,I.S. EN ISO 10240:2020,Smal craft - Owner's manual (ISO/FDIS 10240:2019) CEN,09/02/2020
21,,Milk - Bacterial count - Protocol for the evaluation of alternative methods,
22,I.S. EN ISO 16297:2020,09/02/2020(ISO/DIS 16297:2019)CEN,
23,,Playground equipment for children - Replies to requests for interpretation of EN,
24,S.R. CEN/TR 16396:2020,09/02/20201176 and its partsCEN,
25,S.R. CEN/TR 17401:2020,Inteligent transport systems - Urban-ITS - Mixed vendor environment guide CEN,09/02/2020
26,,Electronic fee colection - Secure monitoring for autonomous tol systems - Part,
27,S.R. CEN/TS 16702-1:2020,09/02/20201: Compliance checkingCEN,
28,,Electronic fee colection - Secure monitoring for autonomous tol systems - Part,
29,S.R. CEN/TS 16702-2:2020,09/02/20202: Trusted recorderCEN,
30,,Molecular in vitro diagnostic examinations - Specifications for pre-examination,
31,S.R. CEN/TS 17390-1:2020,processes for circulating tumor cels (CTCs) in venous whole blood - Part 1: CEN,09/02/2020
32,,Isolated RNA,
33,,Molecular in vitro diagnostic examinations - Specifications for pre-examination,
34,S.R. CEN/TS 17390-2:2020,processes for circulating tumor cels (CTCs) in venous whole blood - Part 2: CEN,09/02/2020
35,,Isolated DNA.,
36,,Molecular in vitro diagnostic examinations - Specifications for pre-examination,
37,S.R. CEN/TS 17390-3:2020,processes for circulating tumor cels (CTCs) in venous whole blood - Part 3: CEN,09/02/2020
38,,Preparations for analytical CTC staining,
