,NSAI - Standards Publications NSAI WEB Report Date of Publication 2020-05-19,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,Reference,Title En,Origin Body,Publication D,
1,I.S. EN 455-1:2020,Medical gloves for single use - Part 1: Requirements and testing for freedomfrom holes,CEN,01/06/2020,
2,,,,,
3,I.S. EN 1794-2:2020,Road trafic noise reducing devices - Non-acoustic performance - Part 2:General safety and environmental requirements,CEN,01/06/2020,
4,I.S. EN 2576:2020,"Aerospace series - Bolts, MJ threads, in heat resisting steel FE-PA2601 (A286)Classification: 900 MPa (at ambient temperature)/650 °C - Technicalspecification",CEN,01/06/2020,
5,I.S. EN 7010:2020,Aerospace series - Configuration - Definition and designation for productstandards for externaly threaded fasteners,CEN,01/06/2020,
6,I.S. EN 15181:2017+A1:2020,Measuring method of the energy consumption of gas fired ovens,CEN,01/06/2020,
7,I.S. EN 17206:2020,Entertainment technology - Machinery for stages and other production areas -Safety requirements and inspections,CEN,01/06/2020,
8,I.S. EN 17323:2020,Geosynthetics - Determination of tensile properties of Polymeric GeosyntheticBarriers,CEN,01/06/2020,
9,I.S. EN 60947-5-1:2017/AC:2020-05,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,03/06/2020,
10,I.S. EN 62852:2015/A1:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,03/06/2020,
11,I.S. EN IEC 60086-4:2019/AC:2020-05,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,03/06/2020,
12,I.S. EN IEC 60384-11:2019/AC:2020-05,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,03/06/2020,
13,I.S. EN IEC 60384-26:2018&AC:2020-05,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,03/06/2020,
14,I.S. EN IEC 60947-4-1:2019/AC:2020-05,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,03/06/2020,
15,I.S. EN IEC 61280-4-1:2019/AC:2020-05,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,03/06/2020,
16,I.S. EN IEC 61788-4:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,03/06/2020,
17,I.S. EN IEC 61788-7:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,03/06/2020,
18,I.S. EN IEC 62368-1:2020/AC:2020-05,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,03/06/2020,
19,I.S. EN IEC 62446-2:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,03/06/2020,
20,I.S. EN IEC 62610-6:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,03/06/2020,
21,I.S. EN IEC 63172:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CENELEC,03/06/2020,
22,I.S. EN ISO 4497:2020,Metalic powders - Determination of particle size by dry sieving (ISO 4497:2020,CEN,01/06/2020,
23,I.S. EN ISO 5667-6:2016/A11:2020,Water quality - Sampling - Part 6: Guidance on sampling of rivers and streams(ISO 5667-6:2014),CEN,01/06/2020,
24,I.S. EN ISO 6887-5:2020,Characterization of waste - Leaching behaviour test - Up-flow percolation test(under specified conditions),CEN,01/06/2020,
25,I.S. EN ISO 7886-2:2020,Sterile hypodermic syringes for single use - Part 2: Syringes for use withpower-driven syringe pumps (ISO 7886-2:2020),CEN,01/06/2020,
26,I.S. EN ISO 8502-6:2020,Preparation of steel substrates before application of paints and related product- Tests for the assessment of surface cleanliness - Part 6: Extraction of watersoluble contaminants for analysis (Bresle method)(ISO 8502-6:2020),CEN,01/06/2020,
27,I.S. EN ISO 9455-3:2020,"Soft soldering fluxes - Test methods - Part 3: Determination of acid value,potentiometric and visual titration methods (ISO 9455-3:2019)",CEN,01/06/2020,
28,I.S. EN ISO 11737-2:2020,"Sterilization of health care products - Microbiological methods - Part 2: Tests osterility performed in the definition, validation and maintenance of a sterilizatioprocess (ISO 11737-2:2019)",CEN,01/06/2020,
29,I.S. EN ISO 13517:2020,Metalic powders - Determination of flow rate by means of a calibrated funnel(Gustavsson flowmeter) (ISO 13517:2020),CEN,01/06/2020,
30,I.S. EN ISO 21850-1:2020,Dentistry - Materials for dental instruments - Part 1: Stainless steel (ISO21850-1:2020),CEN,01/06/2020,
31,S.R. CEN/TS 16614-2:2020,Public transport - Network and Timetable Exchange (NeTEx) - Part 2: Publictransport scheduled timetables exchange format,CEN,01/06/2020,
32,Number of Records found :30,,,,
